WindowClassName	windowControlID 	Module	Text	Comment
SafGrid	7407	spcsadm	Företagslista	
SafGrid	7407	spcsfor	Föreningslista	
SafGrid	21346	Offert	Offerter	
SafGrid	21346	Order	Orderlista	
SafGrid	21346	Kundfaktura	Fakturalista	
SafGrid	21346	Avtal	Avtalslista	
SafGrid	21346	Avtalsmallar	Avtalsmallista	
SafGrid	21211	Avtalsmallar	Kundens artikelnummer	
SafGrid	21346	Kunder	Kundlista	
SafGrid	21346	Kundrabatter	Rabattavtalslista	
SafGrid	21516	Artiklar och tjänster	Artikellista	
SafGrid	21516	Försäljningsprislistor	Prislistor	
SafGrid	21516	Beställning	Beställningar	
SafGrid	21516	Inkommande följesedel	Följesedlar	
SafGrid	21516	Manuell inleverans	Manuella inleveranser	
SafGrid	21516	Manuell utleverans	Manuella utleveranser	
SafGrid	21516	Prisinläsning	Priser	
SafGrid	21577	Prisomräkning kalkylpriser	Priser	
SafGrid	21629	Inventering	Inventeringslista	
SafGrid	24693	Kontakter	Kontaktlista	
SafGrid	21666	Leverantörsfaktura	Leverantörsfakturor	
SafGrid	21769	Leverantörsfaktura	Beloppsrader	
#NAMN?	21679	Leverantörsfaktura		Finns på flera flikar och innehåller olika data. Får hitta annat sätt att identifiera.
SafGrid	21666	Leverantörer	Leverantörslista	
SafGrid	21666	Prisomräkning leverantörspriser	Priser	
SafGrid	7319		Aktiva kolumner	
SafGrid	7320		Tillgängliga kolumner	
SafGrid	7221		Företag i säkerhetskopian	
SafGrid	23569		Rättigheter	
SafGrid	21346	Medlemmar	Medlemslista	
SysTabControl32	59648		Fliksidor	
Edit	22612		Artikelnummer	Artikelkort, flik 1
Edit	22613		Benämning	
Edit	22614		Annan benämning	
Edit	22615		Kortnamn	
Edit	22616		Artikelgrupp	
Edit	22619		Enhet	
Edit	22617		Konteringskod	
Edit	22709		Streckkod	
ComboBox	21657		Streckkodstyp	
Edit	22620		Sorteringsbegrepp	
Edit	22643		Exportkod	
Button	22641		Restnotera ej	
Button	22618		Lagervara	
Button	22652		Utgående	
Button	25050		Inaktiv	
Button	23606		Webshopartikel	
Edit	22708		Dokument	
Edit	22644		Anmärkning 1	
Edit	22645		Anmärkning 2	
Edit	20593		Anteckningar	
Edit	24279		Ursprungslandskod	Artikelkort, flik 2
Edit	22642		Ursprungsland	
Edit	22628		Lagerplats	
Edit	22629		Vikt	
Edit	22630		Volym	
Button	22657		Lagervärdet är inaktivt	
Edit	v		Normal leveranstid	Artikelkort, flik 3
Edit	22631		Huvudleverantör	
Edit	22653		Kalkylpris, inpris	
Edit	22654		Kalkylpris, frakt	
Edit	22655		Kalkylpris, övrigt	
Edit	22623		Beställningspunkt	
Edit	22625		Maxnivå	
Edit	22624		Minsta beställning	
ComboBox	22673		Spårning	Artikelkort, flik 6
Edit	22308	Order	Ordernummer	Orderkort, flik 1
Edit	22308	Kundfaktura	Fakturanummer	
Edit	22308	Offert		
Edit	22332		Kundnummer	
Edit	22333		Namn	
Edit	22344		Er referens	
Edit	22346		Vår referens	
Edit	23613		Kontraktsnummer	
Edit	22362		Betalningsvillkor	
Edit	22363		Leveransvillkor	
Edit	22364		Leveranssätt	
Edit	23658		Speditör	
Edit	22385		Resultatenhet	
Edit	22384		Projekt	
Edit	22316	Offert	Offertdatum	
Edit	22316	Order	Orderdatum	
Edit	22316	Kundfaktura	Fakturadatum	
Edit	22317	Offert	Giltig till och med	
Edit	22317	Order	Leveransdatum	
Edit	22317	Kundfaktura	Förfallodatum	
Edit	22331		Ert referensnummer	
Edit	23631		Leveransdatum	
Edit	22345		Ert ordernummer	
Edit	24346		Referenskod	
Edit	22359		Fakturarabatt i procent	
Edit	22377		Frakt	
Button	22356		Inklusive moms	
Edit	22379		Expeditionsavgift	
Button	22313		Ej klar	
Button	22318		Levererad	
Button	22315		Makulerad	
Button	21306		Journalförd	
Button	22314	Order	Ordererkännande utskrivet	
Button	22314	Kundfaktura	Faktura utskriven	
Button	22319		Plocklista utskriven	
Button	22320		Följesedel utskriven	
Button	21196		Restorder	
Button	21229		Fakturerad	
ComboBox	24932	Order	Ordererkännande, utskriftsval	
ComboBox	24932	Kundfaktura	Faktura, utskriftsval	
ComboBox	24986		Följesedel	
Edit	22334		Postadress	Orderkort, flik 2
Edit	22543		Postadress rad 2	
Edit	23733		GLN	
Edit	22335		Postnummer	
Edit	22336		Ort	
Edit	23596		Landskod	
Edit	22337		Land	
Edit	22410		VAT-nummer	
Edit	22347		Distrikt	
Edit	22348		Säljare	
Edit	22361		Rabattavtal	
Edit	22358		Prislista	
Edit	22349		Språk	
Edit	22350		Valuta	
Edit	22351		Kurs/enhet	
Edit	22338		Avvikande leveransadress, Namn	
Edit	22339		Avvikande leveransadress, rad 1	
Edit	22545		Avvikande leveransadress, rad 2	
Edit	23736		Avvikande leveransadress, GLN	
Edit	22340		Avvikande leveransadress, Postnummer	
Edit	22341		Avvikande leveransadress, Ort	
Edit	23597		Avvikande leveransadress, Landskod	
Edit	22342		Avvikande leveransadress, Land	
Button	22355		Export	
Button	22354		Räntefakturering	
Button	22352		Betalningspåminnelse	
Button	22353		Påminnelseavgift	
Button	22357		Restnotera ej	
Button	22411		Samlingsfakturera	
Button	24122		Överför adress till beställning	
Button	25083		Hämtad - Visma Webbfakturering	
Edit	22365		Text 1	
Edit	22366		Text 2	
Edit	22367		Text 3	
Edit	25028		AutoInvoice-bilaga	
Button	22584		Spara text	
Button	22547		EU Periodisk sammanställning	
Edit	22378	Order	Momskod	Orderkort, flik 3
Edit	22378	Kundfaktura	Momskod, Frakt	
Edit	22380		Momskod, Expeditionsavgift	
Edit	22369		Procentsats, momskod 1	
Edit	22370		Procentsats, momskod 2	
Edit	22371		Procentsats, momskod 3	
